Nom_Principal_Activitat;Nom_Sector_Activitat;Nom_Grup_Activitat;X_UTM_ETRS89;Y_UTM_ETRS89
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431541.293219293;4581612.36983244
Actiu;Serveis;Altres;431534.944079974;4581605.05621092
Actiu;Comerç al detall;Equipament personal;431530.294530654;4581611.46816943
Actiu;Serveis;Activitats immobiliàries;431578.730286033;4581539.06202525
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431576.549071122;4581533.72006862
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431582.277148191;4581546.51394803
Actiu;Comerç al detall;Quotidià alimentari;431584.794819791;4581551.85272967
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431601.411248845;4581577.61540535
Actiu;Serveis;Altres;431598.343509455;4581573.39897665
Actiu;Serveis;Altres;431595.28525636;4581570.18782027
Actiu;Altres;Altres;431602.560013528;4581580.50928254
Actiu;Comerç al detall;Equipament personal;431607.209198983;4581585.93964682
Actiu;Altres;Altres;431561.712285858;4581530.17326606
Actiu;Serveis;Altres;431563.658708417;4581534.4002698
Actiu;Comerç al detall;Quotidià alimentari;431566.864987006;4581541.40851331
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431574.720056352;4581530.05042492
Actiu;Comerç al detall;Quotidià alimentari;431574.738423427;4581555.74629263
Actiu;Serveis;Altres;431583.018229432;4581565.61135685
Actiu;Comerç al detall;Equipament personal;431718.462674872;4581824.5286299
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431793.984787408;4581758.46234055
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431723.455900374;4581818.89574595
Actiu;Comerç al detall;Altres;431711.689010112;4581807.8347531
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431719.24869188;4581800.83712407
Actiu;Comerç al detall;Equipament personal;431703.683235288;4581756.16594577
Actiu;Serveis;Altres;431590.414830644;4581790.76877221
Actiu;Altres;Altres;431662.904634501;4581688.64400217
Actiu;Comerç al detall;Equipament personal;431656.98583372;4581691.26935164
Actiu;Comerç al detall;Parament de la llar;431659.981318181;4581699.73176112
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431650.17842431;4581635.36178861
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431653.036525536;4581641.14438145
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431676.382711116;4581667.06669324
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431658.405883255;4581651.59534258
Actiu;Comerç al detall;Quotidià alimentari;431579.879885049;4581981.45696809
Actiu;Comerç al detall;Parament de la llar;431511.15075925;4581757.33173467
Actiu;Altres;Altres;431467.746587004;4581792.3748583
Actiu;Altres;Altres;431517.396617616;4581741.85553399
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431537.630383114;4581735.07291057
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431543.426428617;4581731.33145497
Actiu;Serveis;Ensenyament;431533.543968471;4581729.86066179
Actiu;Serveis;Altres;431553.779892986;4581723.30156414
Actiu;Altres;Altres;431556.786396071;4581721.03872066
Actiu;Serveis;Altres;431552.474683961;4581715.71689512
Actiu;Serveis;Altres;431560.085628107;4581718.22418977
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431567.849856337;4581705.07017399
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431567.927926576;4581713.33660126
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431459.861445997;4581788.65105312
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431574.502713679;4581708.91742812
Actiu;Comerç al detall;Equipament personal;431470.968829843;4581789.21627037
Actiu;Comerç al detall;Equipament personal;431473.743638316;4581786.17361
