C_Nus,Coord_X,Coord_Y
N00161S,431619.83100000001,4581412.71600000001
N00162T,431653.64700000000,4581463.48900000006
N00163U,431709.48300000001,4581549.99299999978
N00170T,431654.37300000002,4581578.04299999960
N00171U,431668.95100000000,4581608.62000000011
N00172V,431691.35100000002,4581643.46399999969
N00173W,431749.28899999999,4581606.15099999961
N00219T,431539.65200000000,4581495.31699999981
N00220M,431512.39199999999,4581523.38100000005
N00221N,431575.70899999997,4581544.50499999989
N00222O,431589.72700000001,4581568.24000000022
N00223P,431611.51000000001,4581599.09200000018
N00225R,431555.27799999999,4581560.82799999975
N00226S,431573.70400000003,4581582.30900000036
N00227T,431589.97700000001,4581600.71999999974
N00228U,431597.73700000002,4581609.99600000028
N00230O,431576.77700000000,4581458.09599999990
N00231P,431622.18800000002,4581525.74700000044
N00232Q,431631.15500000003,4581581.87399999984
N00235T,431534.10900000000,4581561.34800000023
N00237V,431437.30099999998,4581599.32600000035
N00259B,431817.56900000002,4581714.65299999993
N00261V,431798.29999999999,4581686.53100000042
N00263X,431765.29100000003,4581633.05300000031
N00264Y,431780.19199999998,4581657.62200000044
N00265Z,431710.24300000002,4581703.17300000042
N00266A,431724.75199999998,4581735.34200000018
N00268C,431732.54700000002,4581753.02799999993
N00269D,431739.51400000002,4581767.05200000014
N00270W,431750.01500000001,4581787.93499999959
N00271X,431751.18300000002,4581723.69299999997
N00272Y,431756.64100000000,4581735.63100000005
N00273Z,431763.83799999999,4581749.65899999999
N00274A,431772.19199999998,4581767.64900000021
N00275B,431720.77700000000,4581694.07500000019
N00276C,431749.67499999999,4581676.66600000020
N00277D,431736.33899999998,4581684.14499999955
N00278E,431607.25799999997,4581645.30700000003
N00279F,431620.40800000000,4581667.86099999957
N00280Y,431636.27700000000,4581696.91999999993
N00281Z,431648.17200000002,4581620.88200000022
N00282A,431650.60999999999,4581666.90799999982
N00283B,431667.23700000002,4581657.39199999999
N00284C,431677.36700000003,4581678.24700000044
N00285D,431706.09899999999,4581669.41000000015
N00286E,431703.69500000001,4581665.70399999991
N00287F,431640.95500000002,4581705.32699999958
N00288G,431825.43300000002,4581724.80300000031
N00289H,431845.32600000000,4581756.39400000032
N00290A,431929.37099999998,4581881.87299999967
N00291B,431730.40999999997,4581803.58100000024
N00292C,431690.34499999997,4581814.16000000015
N00293D,431719.13900000002,4581780.86799999978
N00294E,431672.29700000002,4581681.31900000013
N00295F,431779.43400000001,4581821.41799999960
N00296G,431837.11700000003,4581877.46700000018
N00297H,431697.08600000001,4581832.50999999978
N00298I,431732.08500000002,4581868.52500000037
N00299J,431684.34999999998,4581827.89900000021
N00300L,431674.75599999999,4581686.24700000044
N00301M,431681.51799999998,4581700.06900000013
N00302N,431688.58700000000,4581713.99000000022
N00303O,431695.30599999998,4581729.59200000018
N00304P,431705.55599999998,4581751.44400000013
N00305Q,431712.16700000002,4581765.51999999955
N00306R,431655.03700000001,4581733.50800000038
N00307S,431731.02399999998,4581714.95899999980
N00308T,431756.71299999999,4581721.23199999984
N00309U,431762.48400000000,4581702.98699999973
N00310N,431806.72800000000,4581698.29999999981
N00311O,431671.52299999999,4581772.54800000042
N00312P,431661.26400000002,4581750.01599999983
N00313Q,431647.48200000002,4581719.81900000013
N00314R,431678.20299999998,4581786.71499999985
N00315S,431566.14399999997,4581657.71999999974
N00316T,431581.54700000002,4581684.64400000032
N00317U,431587.32699999999,4581693.73400000017
N00318V,431604.41300000000,4581722.28100000042
N00319W,431618.74599999998,4581748.39300000016
N00320P,431637.13600000000,4581913.40099999961
N00321Q,431667.45000000001,4581932.73799999990
N00322R,431726.27299999999,4581990.50600000005
N00323S,431781.59399999998,4581933.96100000013
N00324T,431830.72399999999,4581980.79600000009
N00325U,431621.75199999998,4582006.55499999970
N00326V,431542.56800000003,4581927.63399999961
