wkt_geom;COORD_X;COORD_Y;LONGITUD;ANGLE;C_Tram;C_Nus_I;C_Nus_F;Distric_D;NDistric_D;Illa_D;CVia_D;TVia_D;NVia_D;Tram_Dret;Distric_E;NDistric_E;Illa_E;CVia_E;TVia_E;NVia_E;Tram_Esq;distance;angle
Point (431929.37050079513574019 4581881.87293277774006128);432252.947;4581806.691;705.835;21.89;T00529C;N00290A;N00349C;1;Ciutat Vella;11310;79306;Passeig;Passeig Circumval·lació;42 - 2;1;Ciutat Vella;11210;79306;Passeig;Passeig Circumval·lació;1 <=> 25;0;133.99396825126442
Point (431936.56463005242403597 4581874.92710638884454966);432252.947;4581806.691;705.835;21.89;T00529C;N00290A;N00349C;1;Ciutat Vella;11310;79306;Passeig;Passeig Circumval·lació;42 - 2;1;Ciutat Vella;11210;79306;Passeig;Passeig Circumval·lació;1 <=> 25;10;133.99396825126442
Point (431886.2437602668069303 4581924.78332513011991978);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;0;134.85592486818996
Point (431893.33258650830248371 4581917.73006045911461115);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;10;134.85592486818996
Point (431900.42141274979803711 4581910.67679578810930252);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;20;134.85592486818996
Point (431907.51023899129359052 4581903.62353111710399389);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;30;134.85592486818996
Point (431914.59906523278914392 4581896.57026644609868526);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;40;134.85592486818996
Point (431921.68789147422648966 4581889.51700177509337664);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;50;134.85592486818996
Point (431928.77671771572204307 4581882.46373710501939058);431907.807;4581903.328;60.838;315.14;T00525Y;N00338Z;N00290A;1;Ciutat Vella;11470;201400;Passeig;Passeig Picasso;42 - 44 <=> 46;1;Ciutat Vella;11210;201400;Passeig;Passeig Picasso;15 - 21 <=> 21 Int;60;134.85592486818996
Point (431845.32641754526412115 4581756.39437708258628845);431887.348;4581819.134;151.024;56.19;T00442W;N00289H;N00290A;1;Ciutat Vella;11310;198203;Avinguda;Avinguda Marquès de l'Argentera;6 - 20 <=> 22;1;Ciutat Vella;11470;198203;Avinguda;Avinguda Marquès de l'Argentera;15 <=> 27;0;33.81371751088631
